,0
0,1. 2001: A Space Odyssey (1968)
1,2. The Godfather (1972)
2,3. Citizen Kane (1941)
3,"4. Jeanne Dielman, 23, Quai du Commerce, 1080 Bruxelles (1975)"
4,5. Raiders of the Lost Ark (1981)
5,6. La Dolce Vita (1960)
6,7. Seven Samurai (1954)
7,8. In the Mood for Love (2000)
8,9. There Will Be Blood (2007)
9,10. Singin’ in the Rain (1952)
10,11. Goodfellas (1990)
11,12. North by Northwest (1959)
12,13. Mulholland Drive (2001)
13,14. Bicycle Thieves (1948)
14,15. The Dark Knight (2008)
15,16. City Lights (1931)
16,17. Grand Illusion (1937)
17,18. His Girl Friday (1940)
18,19. The Red Shoes (1948)
19,20. Vertigo (1958)
20,21. Beau Travail (1999)
21,22. The Searchers (1956)
22,23. Persona (1966)
23,24. Do the Right Thing (1989)
24,25. Rashomon (1950)
25,26. The Rules of the Game (1939)
26,27. Jaws (1975)
27,28. Double Indemnity (1944)
28,29. The 400 Blows (1959)
29,30. Star Wars (1977)
30,31. The Passion of Joan of Arc (1928)
31,32. Once Upon a Time in the West (1968)
32,33. Alien (1979)
33,34. Tokyo Story (1951)
34,35. Pulp Fiction (1994)
35,36. The Truman Show (1998)
36,37. Lawrence of Arabia (1962)
37,38. Psycho (1960)
38,39. Sansho the Bailiff (1954)
39,40. Andrei Rublev (1966)
40,41. The Umbrellas of Cherbourg (1964)
41,42. Chinatown (1974)
42,43. The Seventh Seal (1957)
43,44. Lost in Translation (2003)
44,45. Taxi Driver (1976)
45,46. Spirited Away (2001)
46,47. Night of the Living Dead (1968)
47,48. Battleship Potemkin (1925)
48,49. Modern Times (1936)
49,50. Breathless (1960)
50,51. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
51,52. M (1931)
52,53. Blade Runner
53,54. The Bitter Tears of Petra von Kant (1972)
54,"55. Rome, Open City (1945)"
55,56. Nosferatu (1922)
56,57. Airplane! (1980)
57,58. Under the Skin (2013)
58,59. Mad Max: Fury Road (2015)
59,60. Apocalypse Now (1979)
60,61. Brokeback Mountain (2005)
61,62. Duck Soup (1933)
62,63. The Blair Witch Project (1999)
63,64. All the President’s Men (1976)
64,"65. The Apu trilogy (1955, 1956, 1959)"
65,66. The General (1926)
66,67. Eternal Sunshine of the Spotless Mind (2004)
67,68. The Texas Chain Saw Massacre (1974)
68,69. Come and See (1985)
69,70. Heat (1995)
70,71. The Shining (1980)
71,72. Toy Story (1995)
72,73. Killer of Sheep (1977)
73,74. A Woman Under the Influence (1974)
74,75. Annie Hall (1977)
75,76. Some Like It Hot (1959)
76,77. Metropolis (1927)
77,78. The Maltese Falcon (1941)
78,79. This Is Spinal Tap (1984)
79,80. It Happened One Night (1934)
80,81. Die Hard (1988)
81,82. The Conformist (1970)
82,83. The Thing (1982)
83,84. Daughters of the Dust (1991)
84,85. Barry Lyndon (1975)
85,86. Raging Bull (1980)
86,87. Seven (1995)
87,"88. Aguirre, the Wrath of God (1972)"
88,89. The Battle of Algiers (1966)
89,90. Women on the Verge of a Nervous Breakdown (1988)
90,91. Boyhood (2014)
91,92. The Discreet Charm of the Bourgeoisie (1972)
92,93. Paths of Glory (1957)
93,94. Secrets & Lies (1996)
94,95. Sweet Smell of Success (1957)
95,96. The Cabinet of Dr. Caligari (1920)
96,97. Nashville (1975)
97,98. Don’t Look Now (1973)
98,99. Bonnie and Clyde (1967)
99,100. Get Out (2017)
100,Check out the best movies of all time as chosen by actors
